Process_ID,Arrival_Time,CPU_Percent,IO_Write_Bytes,Num_Ctx_Switches,Actual_Burst_Time
1,1,42.10779940242303,535.7746840747585,26,15
2,1,35.28410587186427,90.28977005440831,41,17
3,1,58.84264748424236,835.302495589238,1,14
4,1,22.68318024772864,320.78006497173584,25,5
5,2,82.19772826786357,186.51851039985422,16,12
6,2,16.709557931179376,40.77514155476392,39,16
7,3,98.81982429404655,590.8929431882418,32,16
8,3,79.50202923669917,677.5643618422824,8,7
9,3,27.884411338075516,16.58782892785615,42,4
10,5,10.496990541124216,512.093058299281,47,1
11,6,83.39152856093507,226.49577519793795,38,5
12,7,73.61716094628554,645.1727904094498,28,10
13,8,75.61064512368885,174.36642900499143,41,5
14,13,79.41433120173512,690.9377381024659,25,4
15,13,16.664018656068134,386.7353463005374,34,2
16,14,42.261915568984534,936.7299887367345,49,10
17,14,20.428215357261674,137.52094414599324,24,19
18,14,87.67930832880342,341.0663510502585,23,1
19,17,66.0968314144802,113.47352124058906,12,5
20,17,39.78082223673843,924.6936182785628,6,13
21,20,15.720251525742126,877.339353380981,35,4
22,20,37.9884089544096,257.9416277151556,44,16
23,20,39.266498982407235,659.9840460341791,19,16
24,21,75.66455605042577,817.2222002012159,0,2
25,21,67.38017242196918,555.2008115994623,7,17
26,23,89.84914683186939,529.6505783560065,45,12
27,23,52.49934326457544,241.8522909004517,15,18
28,29,20.763482134447152,93.1027678058992,13,3
29,32,74.19203085006956,897.2157579533267,11,1
30,33,78.47065437552077,900.4180571633304,22,1
31,34,60.51494778125466,633.1014572732679,14,19
32,35,79.38704619591049,339.0297910487007,27,11
33,37,54.44160367279517,349.2095746126609,33,5
34,38,57.045954644379464,725.9556788702394,1,12
35,39,48.47869165226947,897.110259952577,31,3
36,41,12.287721406968567,887.0864242651173,22,1
37,43,19.7102284293974,779.8755458576238,21,1
38,43,12.828626711806082,642.0316461542877,24,8
39,46,67.27693701374024,84.13996499504883,21,10
40,46,38.2920382968694,161.62871409461377,21,11
41,47,55.77136220482325,898.5541885270792,48,12
42,48,91.68098265334837,606.4290596595899,41,13
43,49,32.43630062339874,9.197051616629647,5,12
44,50,46.93446307320668,101.47154286603211,14,14
45,50,77.99960246887439,663.5017691080558,42,2
46,51,30.59183489424602,5.061583846218687,36,19
47,52,16.92819188459137,160.80805141749866,32,18
48,52,36.077630762239124,548.7337893665862,7,3
49,52,24.5099158528604,691.8951976926933,43,17
50,53,93.67278871083158,651.9612595026006,43,8
51,53,82.73083416079753,224.26930946055978,4,10
52,54,67.00633808593811,712.1792213475359,38,2
53,57,88.43145311689459,237.24908749680006,3,19
54,58,82.33048692092031,325.3996981592677,5,9
55,59,26.791305299743225,746.4914051180241,44,7
56,59,90.330309864098,649.6328990472147,31,4
57,59,58.540801772408564,849.223410494178,29,18
58,59,82.66961396476563,657.6128923003433,46,13
59,60,90.64821699311439,568.3086033354716,34,11
60,61,38.62031274746775,93.67476782809247,39,4
61,61,19.90467320749091,367.71580305943354,15,4
62,61,30.51416462877475,265.20236768172543,12,10
63,61,48.43970097636307,243.9896433790836,49,5
64,61,83.62132893302439,973.0105547524456,41,9
65,62,87.46575249307091,393.0977246667604,29,3
66,63,10.625691747807164,892.0465551771133,18,17
67,63,55.967257231980916,631.1386259972629,16,3
68,70,47.56699028339011,794.8113035416484,18,16
69,71,29.98970294236572,502.6370931051921,27,4
70,71,20.78788306003145,576.9038846263591,25,18
71,72,40.385365426326516,492.5176938188639,36,17
72,73,94.86187335212672,195.2429877980445,25,7
73,74,39.088263881867974,722.4521152615054,22,5
74,74,56.691155956902946,280.7723624408558,8,12
75,75,73.27170630056601,24.315966431453838,11,17
76,77,42.726664214136456,645.4722959071678,0,13
77,77,97.46038744488646,177.11067940704893,0,3
78,79,96.62025654479001,940.4585843529143,46,9
79,79,32.66040662428277,953.9285770025874,33,17
80,80,54.75236553031469,914.8643902204485,31,17
81,81,37.07904788350927,370.1587002554444,47,16
82,82,35.63564449397209,15.456616528867428,24,13
83,83,13.319825261907951,928.3185625877254,39,19
84,84,64.86079005819072,428.18414831731434,44,17
85,86,55.24111209059753,966.6548190436696,0,4
86,86,14.633087612499041,963.6199770892529,15,12
87,87,35.07818178129503,853.0094554673601,38,9
88,87,91.74392973699884,294.44889206958567,4,19
89,88,31.560570160027517,385.09772860192527,21,12
90,88,23.04053848821008,851.136671516857,28,9
91,89,54.05074842498067,316.9220051562777,2,7
92,89,98.70854086995406,169.4927466860925,11,14
93,90,31.784974436035036,556.8012624583502,25,19
94,91,70.49219926652907,936.154774160781,15,15
95,91,78.54576537958458,696.029796674973,36,16
96,92,31.38737895931597,570.061170089365,21,5
97,92,75.53947137506736,97.17649377076853,28,3
98,94,43.10048194473279,615.0072266991698,13,12
99,99,66.90752475342215,990.0538501042632,27,4
100,99,67.01767396848052,140.08401523652404,4,16
